record_id,date,station_name,neighborhood,hour,pickups,returns,weather,temperature_c,day_of_week,is_holiday
24,2024-01-07,Meinau,Meinau,18,2,2,Snowy,2.4,Sunday,No
25,2024-01-07,Krutenau,Krutenau,7,1,1,Snowy,2.4,Sunday,No
26,2024-01-07,Hopital Civil,Centre-Ville,12,1,0,Snowy,2.4,Sunday,No
27,2024-01-08,Campus Esplanade,Esplanade,7,7,9,Cloudy,3.9,Monday,No
28,2024-01-08,Gare Centrale,Gare,18,17,22,Cloudy,3.9,Monday,No
29,2024-01-08,Parlement Europeen,Wacken,18,25,26,Cloudy,3.9,Monday,No
30,2024-01-08,Illkirch Graffenstaden,Illkirch,12,4,3,Cloudy,3.9,Monday,No
31,2024-01-09,Lingolsheim,Lingolsheim,19,3,3,Rainy,0.2,Tuesday,No
32,2024-01-09,Campus Esplanade,Esplanade,10,2,1,Rainy,0.2,Tuesday,No
33,2024-01-09,Place Broglie,Centre-Ville,8,9,7,Rainy,0.2,Tuesday,No
34,2024-01-10,Campus Esplanade,Esplanade,17,21,24,Cloudy,4.6,Wednesday,No
35,2024-01-10,Place de la Republique,Republique,12,14,13,Cloudy,4.6,Wednesday,No
36,2024-01-10,Gare Centrale,Gare,13,5,3,Cloudy,4.6,Wednesday,No
37,2024-01-10,Cathedrale,Centre-Ville,10,10,13,Cloudy,4.6,Wednesday,No
38,2024-01-10,Hopital Civil,Centre-Ville,9,23,19,Cloudy,4.6,Wednesday,No
39,2024-01-11,Rue du Faubourg National,Gare,18,22,23,Partly Cloudy,1.0,Thursday,No
40,2024-01-11,Schiltigheim Centre,Schiltigheim,14,4,3,Partly Cloudy,1.0,Thursday,No
41,2024-01-11,Neudorf Marche,Neudorf,9,16,17,Partly Cloudy,1.0,Thursday,No
42,2024-01-11,Place Arnold,Contades,7,4,4,Partly Cloudy,1.0,Thursday,No
43,2024-01-12,Campus Esplanade,Esplanade,7,6,5,Sunny,-2.3,Friday,No
44,2024-01-12,Place de la Republique,Republique,12,14,9,Sunny,-2.3,Friday,No
45,2024-01-12,Robertsau,Robertsau,17,13,9,Sunny,-2.3,Friday,No
46,2024-01-12,Schiltigheim Centre,Schiltigheim,13,11,9,Sunny,-2.3,Friday,No
47,2024-01-12,Illkirch Graffenstaden,Illkirch,13,13,18,Sunny,-2.3,Friday,No
48,2024-01-13,Campus Esplanade,Esplanade,13,5,6,Cloudy,3.8,Saturday,No
49,2024-01-13,Parlement Europeen,Wacken,12,7,7,Cloudy,3.8,Saturday,No
50,2024-01-13,Parc de lOrangerie,Orangerie,7,4,2,Cloudy,3.8,Saturday,No
51,2024-01-14,Parc de lOrangerie,Orangerie,19,2,1,Cloudy,1.2,Sunday,No
52,2024-01-14,Lingolsheim,Lingolsheim,17,9,8,Cloudy,1.2,Sunday,No
53,2024-01-14,Cronenbourg,Cronenbourg,18,10,13,Cloudy,1.2,Sunday,No
54,2024-01-15,Porte de lHopital,Centre-Ville,18,5,3,Snowy,4.1,Monday,No
55,2024-01-15,Petite France,Centre-Ville,18,3,2,Snowy,4.1,Monday,No
56,2024-01-15,Place Broglie,Centre-Ville,14,0,0,Snowy,4.1,Monday,No
57,2024-01-15,Place de Bordeaux,Wacken,18,3,3,Snowy,4.1,Monday,No
58,2024-01-15,Rue du Faubourg National,Gare,8,5,4,Snowy,4.1,Monday,No
59,2024-01-16,Meinau,Meinau,17,14,14,Sunny,2.3,Tuesday,No
60,2024-01-16,Schiltigheim Centre,Schiltigheim,17,9,6,Sunny,2.3,Tuesday,No
61,2024-01-16,Place de la Republique,Republique,9,15,12,Sunny,2.3,Tuesday,No
62,2024-01-17,Place de Haguenau,Haguenau,10,6,5,Sunny,3.0,Wednesday,No
63,2024-01-17,Parc de lOrangerie,Orangerie,7,7,7,Sunny,3.0,Wednesday,No
64,2024-01-17,Place Kleber,Centre-Ville,8,23,17,Sunny,3.0,Wednesday,No
65,2024-01-17,Cronenbourg,Cronenbourg,10,7,5,Sunny,3.0,Wednesday,No
66,2024-01-17,Porte de lHopital,Centre-Ville,14,10,8,Sunny,3.0,Wednesday,No
67,2024-01-18,Meinau,Meinau,9,18,15,Sunny,2.4,Thursday,No
68,2024-01-18,Campus Esplanade,Esplanade,19,4,3,Sunny,2.4,Thursday,No
69,2024-01-18,Hopital Civil,Centre-Ville,14,7,7,Sunny,2.4,Thursday,No
70,2024-01-18,Quai des Bateliers,Centre-Ville,10,6,5,Sunny,2.4,Thursday,No
71,2024-01-18,Robertsau,Robertsau,17,19,23,Sunny,2.4,Thursday,No
72,2024-01-19,Parc de lOrangerie,Orangerie,12,5,6,Rainy,-1.3,Friday,No
73,2024-01-19,Place Broglie,Centre-Ville,14,3,2,Rainy,-1.3,Friday,No
74,2024-01-19,Cathedrale,Centre-Ville,7,4,3,Rainy,-1.3,Friday,No
75,2024-01-19,Parlement Europeen,Wacken,9,9,5,Rainy,-1.3,Friday,No
76,2024-01-19,Place Kleber,Centre-Ville,18,5,6,Rainy,-1.3,Friday,No
77,2024-01-20,Place de la Republique,Republique,8,3,3,Sunny,-0.6,Saturday,No
78,2024-01-20,Schiltigheim Centre,Schiltigheim,7,3,2,Sunny,-0.6,Saturday,No
79,2024-01-20,Meinau,Meinau,19,3,2,Sunny,-0.6,Saturday,No
80,2024-01-21,Schiltigheim Centre,Schiltigheim,7,3,4,Sunny,4.2,Sunday,No
81,2024-01-21,Cathedrale,Centre-Ville,12,8,4,Sunny,4.2,Sunday,No
82,2024-01-21,Place Kleber,Centre-Ville,17,13,14,Sunny,4.2,Sunday,No
83,2024-01-21,Robertsau,Robertsau,12,6,7,Sunny,4.2,Sunday,No
84,2024-01-21,Gare Centrale,Gare,13,6,7,Sunny,4.2,Sunday,No
85,2024-01-22,Place de Haguenau,Haguenau,12,5,5,Rainy,2.4,Monday,No
86,2024-01-22,Porte de lHopital,Centre-Ville,9,7,9,Rainy,2.4,Monday,No
87,2024-01-22,Krutenau,Krutenau,17,4,3,Rainy,2.4,Monday,No
88,2024-01-22,Parlement Europeen,Wacken,19,3,3,Rainy,2.4,Monday,No
89,2024-01-23,Place de Haguenau,Haguenau,18,15,15,Cloudy,1.0,Tuesday,No
90,2024-01-23,Rue du Faubourg National,Gare,17,17,20,Cloudy,1.0,Tuesday,No
91,2024-01-23,Place Broglie,Centre-Ville,14,3,3,Cloudy,1.0,Tuesday,No
92,2024-01-23,Robertsau,Robertsau,7,10,7,Cloudy,1.0,Tuesday,No
93,2024-01-24,Robertsau,Robertsau,18,12,11,Cloudy,2.7,Wednesday,No
94,2024-01-24,Cronenbourg,Cronenbourg,7,5,4,Cloudy,2.7,Wednesday,No
95,2024-01-24,Place de Haguenau,Haguenau,10,5,5,Cloudy,2.7,Wednesday,No
96,2024-01-24,Petite France,Centre-Ville,7,8,8,Cloudy,2.7,Wednesday,No
97,2024-01-25,Place Broglie,Centre-Ville,13,6,4,Rainy,3.2,Thursday,No
98,2024-01-25,Parlement Europeen,Wacken,10,4,3,Rainy,3.2,Thursday,No
99,2024-01-25,Schiltigheim Centre,Schiltigheim,9,7,7,Rainy,3.2,Thursday,No
100,2024-01-26,Quai des Bateliers,Centre-Ville,19,0,0,Snowy,6.6,Friday,No
101,2024-01-26,Rue du Faubourg National,Gare,13,2,2,Snowy,6.6,Friday,No
102,2024-01-26,Neudorf Marche,Neudorf,13,1,1,Snowy,6.6,Friday,No
103,2024-01-27,Petite France,Centre-Ville,12,8,7,Partly Cloudy,0.9,Saturday,No
104,2024-01-27,Place Arnold,Contades,7,2,1,Partly Cloudy,0.9,Saturday,No
105,2024-01-27,Place de Bordeaux,Wacken,19,5,6,Partly Cloudy,0.9,Saturday,No
106,2024-01-28,Lingolsheim,Lingolsheim,10,0,0,Snowy,-4.4,Sunday,No
107,2024-01-28,Krutenau,Krutenau,13,1,1,Snowy,-4.4,Sunday,No
108,2024-01-28,Place Kleber,Centre-Ville,7,1,0,Snowy,-4.4,Sunday,No
109,2024-01-28,Petite France,Centre-Ville,12,0,0,Snowy,-4.4,Sunday,No
110,2024-01-29,Place de Haguenau,Haguenau,8,5,6,Rainy,1.7,Monday,No
111,2024-01-29,Campus Esplanade,Esplanade,13,6,4,Rainy,1.7,Monday,No
112,2024-01-29,Cronenbourg,Cronenbourg,7,5,3,Rainy,1.7,Monday,No
113,2024-01-29,Place Arnold,Contades,7,3,2,Rainy,1.7,Monday,No
114,2024-01-30,Gare Centrale,Gare,8,2,1,Snowy,1.8,Tuesday,No
115,2024-01-30,Place Arnold,Contades,9,6,7,Snowy,1.8,Tuesday,No
116,2024-01-30,Quai des Bateliers,Centre-Ville,19,0,0,Snowy,1.8,Tuesday,No
117,2024-01-31,Place Kleber,Centre-Ville,13,14,16,Cloudy,4.3,Wednesday,No
118,2024-01-31,Parlement Europeen,Wacken,17,10,11,Cloudy,4.3,Wednesday,No
119,2024-01-31,Place Broglie,Centre-Ville,13,8,9,Cloudy,4.3,Wednesday,No
120,2024-01-31,Campus Esplanade,Esplanade,8,12,14,Cloudy,4.3,Wednesday,No
121,2024-02-01,Place Arnold,Contades,19,8,7,Cloudy,5.0,Thursday,No
122,2024-02-01,Krutenau,Krutenau,10,6,5,Cloudy,5.0,Thursday,No
123,2024-02-01,Cathedrale,Centre-Ville,9,22,22,Cloudy,5.0,Thursday,No
124,2024-02-01,Cronenbourg,Cronenbourg,8,8,10,Cloudy,5.0,Thursday,No
125,2024-02-02,Place Kleber,Centre-Ville,17,6,5,Snowy,5.7,Friday,No
126,2024-02-02,Neudorf Marche,Neudorf,17,3,3,Snowy,5.7,Friday,No
127,2024-02-02,Place de Haguenau,Haguenau,7,0,0,Snowy,5.7,Friday,No
128,2024-02-02,Quai des Bateliers,Centre-Ville,12,1,0,Snowy,5.7,Friday,No
129,2024-02-02,Parc de lOrangerie,Orangerie,9,3,3,Snowy,5.7,Friday,No
130,2024-02-03,Neudorf Marche,Neudorf,18,16,20,Cloudy,3.8,Saturday,No
131,2024-02-03,Robertsau,Robertsau,14,7,5,Cloudy,3.8,Saturday,No
132,2024-02-03,Krutenau,Krutenau,13,10,11,Cloudy,3.8,Saturday,No
133,2024-02-03,Porte de lHopital,Centre-Ville,13,5,4,Cloudy,3.8,Saturday,No
134,2024-02-03,Schiltigheim Centre,Schiltigheim,19,3,3,Cloudy,3.8,Saturday,No
135,2024-02-04,Place Kleber,Centre-Ville,9,2,2,Snowy,4.4,Sunday,No
136,2024-02-04,Krutenau,Krutenau,14,1,1,Snowy,4.4,Sunday,No
137,2024-02-04,Rue du Faubourg National,Gare,9,1,0,Snowy,4.4,Sunday,No
138,2024-02-04,Place Broglie,Centre-Ville,19,0,0,Snowy,4.4,Sunday,No
139,2024-02-05,Cathedrale,Centre-Ville,12,4,4,Rainy,4.8,Monday,No
140,2024-02-05,Parc de lOrangerie,Orangerie,17,4,3,Rainy,4.8,Monday,No
141,2024-02-05,Rue du Faubourg National,Gare,13,4,5,Rainy,4.8,Monday,No
142,2024-02-06,Krutenau,Krutenau,12,10,13,Partly Cloudy,4.7,Tuesday,No
143,2024-02-06,Campus Esplanade,Esplanade,7,2,1,Partly Cloudy,4.7,Tuesday,No
144,2024-02-06,Hopital Civil,Centre-Ville,10,7,9,Partly Cloudy,4.7,Tuesday,No
145,2024-02-06,Place Kleber,Centre-Ville,10,12,12,Partly Cloudy,4.7,Tuesday,No
146,2024-02-06,Meinau,Meinau,13,12,13,Partly Cloudy,4.7,Tuesday,No
147,2024-02-07,Robertsau,Robertsau,14,6,3,Cloudy,4.3,Wednesday,No
148,2024-02-07,Place de la Republique,Republique,12,6,8,Cloudy,4.3,Wednesday,No
149,2024-02-07,Hopital Civil,Centre-Ville,12,9,6,Cloudy,4.3,Wednesday,No
150,2024-02-07,Quai des Bateliers,Centre-Ville,17,27,25,Cloudy,4.3,Wednesday,No
151,2024-02-08,Krutenau,Krutenau,19,5,5,Cloudy,5.4,Thursday,No
152,2024-02-08,Petite France,Centre-Ville,13,12,9,Cloudy,5.4,Thursday,No
153,2024-02-08,Schiltigheim Centre,Schiltigheim,8,19,17,Cloudy,5.4,Thursday,No
154,2024-02-09,Porte de lHopital,Centre-Ville,10,7,5,Partly Cloudy,1.2,Friday,No
155,2024-02-09,Meinau,Meinau,14,8,9,Partly Cloudy,1.2,Friday,No
156,2024-02-09,Petite France,Centre-Ville,10,9,10,Partly Cloudy,1.2,Friday,No
157,2024-02-09,Schiltigheim Centre,Schiltigheim,9,20,27,Partly Cloudy,1.2,Friday,No
158,2024-02-09,Lingolsheim,Lingolsheim,17,15,9,Partly Cloudy,1.2,Friday,No
159,2024-02-10,Meinau,Meinau,19,4,2,Cloudy,6.0,Saturday,No
160,2024-02-10,Place de la Republique,Republique,7,2,1,Cloudy,6.0,Saturday,No
161,2024-02-10,Parlement Europeen,Wacken,14,3,3,Cloudy,6.0,Saturday,No
162,2024-02-10,Place de Haguenau,Haguenau,12,5,5,Cloudy,6.0,Saturday,No
163,2024-02-10,Neudorf Marche,Neudorf,9,9,12,Cloudy,6.0,Saturday,No
164,2024-02-11,Robertsau,Robertsau,17,2,1,Snowy,0.6,Sunday,No
165,2024-02-11,Place Kleber,Centre-Ville,9,1,1,Snowy,0.6,Sunday,No
166,2024-02-11,Schiltigheim Centre,Schiltigheim,13,1,1,Snowy,0.6,Sunday,No
167,2024-02-12,Place Arnold,Contades,14,5,5,Cloudy,2.4,Monday,No
168,2024-02-12,Cronenbourg,Cronenbourg,19,7,5,Cloudy,2.4,Monday,No
169,2024-02-12,Schiltigheim Centre,Schiltigheim,13,11,12,Cloudy,2.4,Monday,No
170,2024-02-12,Place Kleber,Centre-Ville,10,9,10,Cloudy,2.4,Monday,No
171,2024-02-12,Krutenau,Krutenau,13,14,18,Cloudy,2.4,Monday,No
172,2024-02-13,Place Arnold,Contades,9,9,11,Partly Cloudy,5.7,Tuesday,No
173,2024-02-13,Porte de lHopital,Centre-Ville,18,18,20,Partly Cloudy,5.7,Tuesday,No
174,2024-02-13,Quai des Bateliers,Centre-Ville,13,7,8,Partly Cloudy,5.7,Tuesday,No
175,2024-02-14,Illkirch Graffenstaden,Illkirch,18,21,28,Sunny,7.8,Wednesday,No
176,2024-02-14,Cathedrale,Centre-Ville,9,15,19,Sunny,7.8,Wednesday,No
177,2024-02-14,Hopital Civil,Centre-Ville,19,6,6,Sunny,7.8,Wednesday,No
178,2024-02-14,Robertsau,Robertsau,19,8,5,Sunny,7.8,Wednesday,No
179,2024-02-14,Place de la Republique,Republique,12,16,16,Sunny,7.8,Wednesday,No
180,2024-02-15,Place Broglie,Centre-Ville,18,9,5,Rainy,3.7,Thursday,No
181,2024-02-15,Parlement Europeen,Wacken,8,4,5,Rainy,3.7,Thursday,No
182,2024-02-15,Parc de lOrangerie,Orangerie,7,1,0,Rainy,3.7,Thursday,No
183,2024-02-15,Krutenau,Krutenau,17,7,5,Rainy,3.7,Thursday,No
184,2024-02-15,Cathedrale,Centre-Ville,18,10,10,Rainy,3.7,Thursday,No
185,2024-02-16,Hopital Civil,Centre-Ville,18,25,19,Cloudy,2.0,Friday,No
186,2024-02-16,Neudorf Marche,Neudorf,14,10,8,Cloudy,2.0,Friday,No
187,2024-02-16,Cronenbourg,Cronenbourg,19,9,7,Cloudy,2.0,Friday,No
188,2024-02-16,Parc de lOrangerie,Orangerie,12,13,11,Cloudy,2.0,Friday,No
189,2024-02-16,Meinau,Meinau,12,9,7,Cloudy,2.0,Friday,No
190,2024-02-17,Parlement Europeen,Wacken,7,2,1,Sunny,5.2,Saturday,No
191,2024-02-17,Rue du Faubourg National,Gare,19,4,3,Sunny,5.2,Saturday,No
192,2024-02-17,Porte de lHopital,Centre-Ville,7,3,2,Sunny,5.2,Saturday,No
193,2024-02-18,Rue du Faubourg National,Gare,13,1,0,Snowy,5.2,Sunday,No
194,2024-02-18,Krutenau,Krutenau,12,1,0,Snowy,5.2,Sunday,No
195,2024-02-18,Cronenbourg,Cronenbourg,9,1,0,Snowy,5.2,Sunday,No
196,2024-02-18,Neudorf Marche,Neudorf,14,0,0,Snowy,5.2,Sunday,No
197,2024-02-18,Gare Centrale,Gare,8,2,2,Snowy,5.2,Sunday,No
198,2024-02-19,Neudorf Marche,Neudorf,14,7,9,Sunny,4.5,Monday,No
199,2024-02-19,Parc de lOrangerie,Orangerie,10,9,5,Sunny,4.5,Monday,No
200,2024-02-19,Parlement Europeen,Wacken,13,11,13,Sunny,4.5,Monday,No
201,2024-02-19,Place Kleber,Centre-Ville,8,22,18,Sunny,4.5,Monday,No
202,2024-02-19,Place Arnold,Contades,7,6,4,Sunny,4.5,Monday,No
203,2024-02-20,Place de Haguenau,Haguenau,17,21,20,Sunny,8.9,Tuesday,No
204,2024-02-20,Porte de lHopital,Centre-Ville,12,13,14,Sunny,8.9,Tuesday,No
205,2024-02-20,Place de Bordeaux,Wacken,19,7,5,Sunny,8.9,Tuesday,No
206,2024-02-20,Petite France,Centre-Ville,13,14,19,Sunny,8.9,Tuesday,No
207,2024-02-21,Campus Esplanade,Esplanade,18,18,16,Sunny,1.6,Wednesday,No
208,2024-02-21,Neudorf Marche,Neudorf,17,19,25,Sunny,1.6,Wednesday,No
209,2024-02-21,Meinau,Meinau,18,11,10,Sunny,1.6,Wednesday,No
210,2024-02-22,Meinau,Meinau,12,14,13,Sunny,10.8,Thursday,No
211,2024-02-22,Lingolsheim,Lingolsheim,12,14,16,Sunny,10.8,Thursday,No
212,2024-02-22,Place Arnold,Contades,7,5,3,Sunny,10.8,Thursday,No
213,2024-02-22,Parc de lOrangerie,Orangerie,10,8,9,Sunny,10.8,Thursday,No
214,2024-02-23,Illkirch Graffenstaden,Illkirch,17,5,4,Rainy,0.9,Friday,No
215,2024-02-23,Place Arnold,Contades,12,2,1,Rainy,0.9,Friday,No
216,2024-02-23,Place de Bordeaux,Wacken,7,2,1,Rainy,0.9,Friday,No
217,2024-02-23,Robertsau,Robertsau,12,3,2,Rainy,0.9,Friday,No
218,2024-02-23,Hopital Civil,Centre-Ville,17,10,6,Rainy,0.9,Friday,No
219,2024-02-24,Meinau,Meinau,10,3,3,Cloudy,4.8,Saturday,No
220,2024-02-24,Campus Esplanade,Esplanade,13,7,6,Cloudy,4.8,Saturday,No
221,2024-02-24,Schiltigheim Centre,Schiltigheim,17,9,11,Cloudy,4.8,Saturday,No
222,2024-02-25,Lingolsheim,Lingolsheim,10,2,1,Sunny,1.7,Sunday,No
223,2024-02-25,Robertsau,Robertsau,8,11,7,Sunny,1.7,Sunday,No
224,2024-02-25,Place de Bordeaux,Wacken,7,3,4,Sunny,1.7,Sunday,No
225,2024-02-25,Rue du Faubourg National,Gare,17,14,12,Sunny,1.7,Sunday,No
226,2024-02-25,Porte de lHopital,Centre-Ville,19,3,3,Sunny,1.7,Sunday,No
227,2024-02-26,Hopital Civil,Centre-Ville,12,1,1,Rainy,1.8,Monday,No
228,2024-02-26,Petite France,Centre-Ville,10,3,3,Rainy,1.8,Monday,No
229,2024-02-26,Rue du Faubourg National,Gare,18,10,7,Rainy,1.8,Monday,No
230,2024-02-27,Meinau,Meinau,14,12,10,Partly Cloudy,6.5,Tuesday,No
231,2024-02-27,Place de Haguenau,Haguenau,7,11,7,Partly Cloudy,6.5,Tuesday,No
232,2024-02-27,Schiltigheim Centre,Schiltigheim,17,19,26,Partly Cloudy,6.5,Tuesday,No
233,2024-02-28,Campus Esplanade,Esplanade,19,1,0,Snowy,4.4,Wednesday,No
234,2024-02-28,Place de Bordeaux,Wacken,19,1,1,Snowy,4.4,Wednesday,No
235,2024-02-28,Lingolsheim,Lingolsheim,18,1,0,Snowy,4.4,Wednesday,No
236,2024-02-28,Place de la Republique,Republique,19,0,0,Snowy,4.4,Wednesday,No
237,2024-02-28,Place Arnold,Contades,18,3,1,Snowy,4.4,Wednesday,No
238,2024-02-29,Neudorf Marche,Neudorf,13,1,0,Snowy,9.9,Thursday,No
239,2024-02-29,Illkirch Graffenstaden,Illkirch,7,0,0,Snowy,9.9,Thursday,No
240,2024-02-29,Parlement Europeen,Wacken,17,3,1,Snowy,9.9,Thursday,No
241,2024-02-29,Place de Bordeaux,Wacken,14,1,0,Snowy,9.9,Thursday,No
242,2024-02-29,Place de Haguenau,Haguenau,7,0,0,Snowy,9.9,Thursday,No
243,2024-03-01,Campus Esplanade,Esplanade,19,8,10,Partly Cloudy,7.3,Friday,No
244,2024-03-01,Rue du Faubourg National,Gare,17,23,16,Partly Cloudy,7.3,Friday,No
245,2024-03-01,Schiltigheim Centre,Schiltigheim,12,28,35,Partly Cloudy,7.3,Friday,No
246,2024-03-02,Parc de lOrangerie,Orangerie,17,7,5,Rainy,8.2,Saturday,No
247,2024-03-02,Schiltigheim Centre,Schiltigheim,7,3,1,Rainy,8.2,Saturday,No
248,2024-03-02,Illkirch Graffenstaden,Illkirch,7,5,6,Rainy,8.2,Saturday,No
249,2024-03-03,Place de la Republique,Republique,17,25,33,Partly Cloudy,6.9,Sunday,No
250,2024-03-03,Krutenau,Krutenau,12,7,7,Partly Cloudy,6.9,Sunday,No
251,2024-03-03,Petite France,Centre-Ville,17,38,43,Partly Cloudy,6.9,Sunday,No
252,2024-03-04,Schiltigheim Centre,Schiltigheim,9,12,10,Rainy,0.1,Monday,No
253,2024-03-04,Illkirch Graffenstaden,Illkirch,8,12,14,Rainy,0.1,Monday,No
254,2024-03-04,Krutenau,Krutenau,18,11,14,Rainy,0.1,Monday,No
255,2024-03-04,Porte de lHopital,Centre-Ville,18,17,18,Rainy,0.1,Monday,No
256,2024-03-04,Cathedrale,Centre-Ville,13,14,15,Rainy,0.1,Monday,No
257,2024-03-05,Krutenau,Krutenau,13,8,9,Rainy,10.5,Tuesday,No
258,2024-03-05,Neudorf Marche,Neudorf,9,12,14,Rainy,10.5,Tuesday,No
259,2024-03-05,Cathedrale,Centre-Ville,7,10,13,Rainy,10.5,Tuesday,No
260,2024-03-05,Meinau,Meinau,14,5,6,Rainy,10.5,Tuesday,No
261,2024-03-06,Place de la Republique,Republique,18,32,23,Cloudy,10.3,Wednesday,No
262,2024-03-06,Schiltigheim Centre,Schiltigheim,9,17,12,Cloudy,10.3,Wednesday,No
263,2024-03-06,Krutenau,Krutenau,7,15,14,Cloudy,10.3,Wednesday,No
264,2024-03-06,Neudorf Marche,Neudorf,12,20,25,Cloudy,10.3,Wednesday,No
265,2024-03-06,Place Broglie,Centre-Ville,7,12,12,Cloudy,10.3,Wednesday,No
266,2024-03-07,Place Arnold,Contades,9,58,57,Partly Cloudy,11.7,Thursday,No
267,2024-03-07,Porte de lHopital,Centre-Ville,19,25,16,Partly Cloudy,11.7,Thursday,No
268,2024-03-07,Petite France,Centre-Ville,9,32,36,Partly Cloudy,11.7,Thursday,No
269,2024-03-07,Neudorf Marche,Neudorf,12,25,28,Partly Cloudy,11.7,Thursday,No
270,2024-03-07,Parc de lOrangerie,Orangerie,18,30,20,Partly Cloudy,11.7,Thursday,No
271,2024-03-08,Neudorf Marche,Neudorf,9,20,22,Rainy,1.0,Friday,No
272,2024-03-08,Quai des Bateliers,Centre-Ville,9,18,18,Rainy,1.0,Friday,No
273,2024-03-08,Parc de lOrangerie,Orangerie,8,14,9,Rainy,1.0,Friday,No
274,2024-03-09,Quai des Bateliers,Centre-Ville,13,24,25,Cloudy,9.9,Saturday,No
275,2024-03-09,Porte de lHopital,Centre-Ville,10,5,4,Cloudy,9.9,Saturday,No
276,2024-03-09,Place Arnold,Contades,12,15,17,Cloudy,9.9,Saturday,No
277,2024-03-09,Schiltigheim Centre,Schiltigheim,18,27,31,Cloudy,9.9,Saturday,No
278,2024-03-10,Place de Haguenau,Haguenau,7,10,13,Sunny,5.1,Sunday,No
279,2024-03-10,Place de Bordeaux,Wacken,19,5,3,Sunny,5.1,Sunday,No
280,2024-03-10,Hopital Civil,Centre-Ville,9,26,28,Sunny,5.1,Sunday,No
281,2024-03-10,Parlement Europeen,Wacken,14,12,10,Sunny,5.1,Sunday,No
282,2024-03-11,Place de Bordeaux,Wacken,17,25,34,Cloudy,6.8,Monday,No
283,2024-03-11,Place de Haguenau,Haguenau,18,56,70,Cloudy,6.8,Monday,No
284,2024-03-11,Campus Esplanade,Esplanade,8,42,45,Cloudy,6.8,Monday,No
285,2024-03-11,Lingolsheim,Lingolsheim,19,6,8,Cloudy,6.8,Monday,No
286,2024-03-11,Illkirch Graffenstaden,Illkirch,18,42,51,Cloudy,6.8,Monday,No
287,2024-03-12,Place Broglie,Centre-Ville,13,41,34,Cloudy,7.5,Tuesday,No
288,2024-03-12,Hopital Civil,Centre-Ville,8,41,44,Cloudy,7.5,Tuesday,No
289,2024-03-12,Quai des Bateliers,Centre-Ville,8,60,37,Cloudy,7.5,Tuesday,No
290,2024-03-12,Place Arnold,Contades,9,47,42,Cloudy,7.5,Tuesday,No
291,2024-03-13,Place de Bordeaux,Wacken,8,5,4,Sunny,11.1,Wednesday,No
292,2024-03-13,Porte de lHopital,Centre-Ville,12,24,25,Sunny,11.1,Wednesday,No
293,2024-03-13,Schiltigheim Centre,Schiltigheim,14,17,12,Sunny,11.1,Wednesday,No
294,2024-03-14,Quai des Bateliers,Centre-Ville,12,32,24,Cloudy,5.8,Thursday,No
295,2024-03-14,Hopital Civil,Centre-Ville,18,42,31,Cloudy,5.8,Thursday,No
296,2024-03-14,Parlement Europeen,Wacken,9,50,49,Cloudy,5.8,Thursday,No
297,2024-03-15,Meinau,Meinau,18,27,26,Partly Cloudy,13.2,Friday,No
